"0","Too design","422.58","true"
"1","Although skill me movement","187.03","true"
"2","Modern determine","360.21","false"
"3","Deal important current seven","365.29","false"
"4","Improve good save return father","450.50","false"
"5","Very during current","336.80","true"
"6","Window sell statement deal","429.05","false"
"7","Together painting value alone","96.62","true"
"8","Relationship no","107.47","false"
"9","Direction campaign Congress push","268.78","true"
"10","Out I","31.25","false"
"11","Local sing money","63.33","false"
"12","Still fire","437.06","false"
"13","Them career realize","315.45","false"
"14","Probably base open scene","459.00","true"
"15","Significant debate front free","244.71","false"
"16","Court hot audience machine admit","100.00","true"
"17","Final might before","387.76","false"
"18","Community two back better","305.12","true"
"19","Hotel ever seek","324.64","false"
"20","Name sound still for best","459.43","false"
"21","Establish process","17.51","false"
"22","Line go","464.23","true"
"23","Meet other close","140.87","false"
"24","Case establish cost buy","113.17","true"
"25","Last generation across","100.44","true"
"26","Trip election","95.73","true"
"27","Employee grow ok physical","493.48","false"
"28","Husband heavy stuff cover","465.38","false"
"29","Another everything those","495.20","false"
"30","Treatment early wait","12.19","false"
"31","Trouble image wind","313.85","false"
"32","Risk whether","55.72","false"
"33","Statement religious force us","114.92","true"
"34","Adult coach represent","382.26","false"
"35","Each technology hot tax","193.41","false"
"36","Identify stand positive record","496.35","true"
"37","Student treatment challenge vote","249.69","true"
"38","Defense brother foot","8.43","true"
"39","Growth bill during","340.29","false"
"40","Accept stay","275.72","false"
"41","Try wait side part","488.73","false"
"42","Leave provide story","149.16","false"
"43","Design institution","337.08","true"
"44","Author somebody car","58.14","true"
"45","Company cover","102.68","false"
"46","Moment price","400.86","false"
"47","Matter ever stock","108.78","false"
"48","Audience generation set","300.39","true"
"49","Adult possible six","239.99","false"
"50","Star difficult sea other set","260.65","true"
"51","Avoid material line other","130.22","true"
"52","Enough American over road","406.44","false"
"53","Statement number PM main","63.25","true"
"54","Home employee month fund","71.42","true"
"55","Rock before training","204.13","false"
"56","Center hope executive weight group","83.72","true"
"57","Create behavior","442.28","false"
"58","Collection personal network nature","95.62","true"
"59","Loss safe growth range","346.64","true"
"60","Clearly relate fire","254.50","false"
"61","Opportunity fish","81.33","true"
"62","Collection sure simple between say","421.78","true"
"63","Police identify carry minute parent","269.13","false"
"64","Factor kind probably sound","327.40","false"
"65","Blood whose marriage kid","390.27","true"
"66","Woman strategy","321.44","true"
"67","Middle once news develop news","240.81","true"
"68","Work more","149.64","true"
"69","Man interview","455.91","false"
