"1","1238","85","49.80","197"
"2","1182","94","283.43","30"
"3","64","7","402.63","17"
"4","1474","24","111.47","30"
"5","1253","47","418.03","505"
"6","1706","58","344.02","708"
"7","1586","21","375.09","33"
"8","1662","54","471.78","365"
"9","1091","68","18.63","663"
"10","1369","62","142.29","872"
"11","1297","42","158.09","48"
"12","1352","93","239.08","859"
"13","1012","14","50.69","323"
"14","1652","4","136.03","80"
"15","560","97","298.47","481"
"16","733","48","451.88","124"
"17","1672","99","66.54","89"
"18","1176","9","478.97","480"
"19","1648","39","299.30","733"
"20","1807","45","420.35","545"
"21","1859","91","198.15","819"
"22","863","24","140.29","891"
"23","879","91","476.19","332"
"24","1606","62","424.77","847"
"25","1445","57","88.90","538"
"26","859","97","76.68","905"
"27","549","15","20.27","563"
"28","38","49","441.55","141"
"29","1360","72","392.15","417"
"30","627","76","285.38","357"
"31","698","58","266.58","816"
"32","1341","56","156.80","692"
"33","1854","65","335.83","938"
"34","1408","47","440.13","989"
"35","69","58","447.12","29"
"36","1670","36","362.36","573"
"37","334","16","172.85","539"
"38","48","54","340.74","315"
"39","966","61","185.42","254"
"40","1630","68","426.46","4"
"41","1816","60","111.20","406"
"42","1659","96","422.59","921"
"43","1320","62","122.31","236"
"44","284","18","295.12","444"
"45","1264","44","65.19","48"
"46","163","6","183.39","649"
"47","1887","100","125.66","27"
"48","1235","58","224.30","4"
"49","364","98","257.53","912"
"50","942","33","132.68","124"
"51","1590","54","50.11","314"
"52","454","18","89.86","401"
"53","1507","9","257.37","698"
"54","645","58","335.78","174"
"55","91","21","249.32","964"
"56","1914","53","139.92","545"
"57","49","57","298.93","909"
"58","1668","16","279.64","18"
"59","1408","65","208.14","438"
"60","1847","36","422.53","321"
"61","952","10","304.13","252"
"62","525","90","226.56","552"
"63","655","17","333.93","729"
"64","1036","20","309.88","719"
"65","1063","98","84.01","316"
"66","152","19","251.25","428"
"67","1877","95","197.32","973"
"68","1466","9","147.65","869"
"69","1034","21","69.09","741"
"70","514","64","154.84","496"
"71","1983","5","234.85","200"
"72","878","74","306.48","661"
"73","1809","18","136.92","182"
"74","1153","35","398.17","915"
"75","1570","65","499.17","619"
"76","168","21","240.10","565"
"77","1328","74","64.78","869"
"78","277","87","422.95","641"
"79","1618","50","488.92","225"
"80","1022","45","86.34","28"
"81","1357","50","160.73","679"
"82","24","46","12.63","366"
"83","93","6","90.56","736"
"84","1169","71","64.34","647"
"85","460","21","440.89","941"
"86","97","8","384.05","76"
"87","1823","78","446.19","713"
"88","1315","42","193.86","785"
"89","1840","27","233.44","157"
"90","487","58","119.44","716"
"91","100","95","348.33","905"
"92","410","58","416.99","592"
"93","1857","73","463.10","241"
"94","1505","71","429.33","146"
"95","354","27","190.35","127"
"96","5","13","437.67","853"
"97","1170","38","137.42","548"
"98","1308","5","294.73","290"
"99","856","38","66.37","333"
"100","1347","1","72.19","260"
"101","1836","71","130.45","464"
"102","1334","98","114.08","474"
"103","865","38","298.31","258"
"104","1677","2","45.80","144"
"105","412","6","31.22","239"
"106","1282","94","31.87","693"
"107","415","95","125.21","776"
"108","873","50","488.53","870"
"109","1187","49","163.91","370"
"110","1034","34","350.95","575"
"111","1324","65","450.51","185"
"112","980","28","185.58","80"
"113","164","82","97.74","691"
"114","1061","55","274.40","222"
"115","1762","21","99.46","852"
"116","464","53","250.72","341"
"117","324","48","401.41","535"
"118","76","22","418.43","249"
"119","78","71","40.02","694"
"120","1967","24","389.55","636"
"121","1566","94","36.16","102"
"122","1839","76","460.66","785"
"123","250","41","212.72","971"
"124","1811","32","315.00","191"
"125","853","79","132.43","531"
"126","1918","3","439.24","393"
"127","128","34","66.76","651"
"128","1926","50","162.69","635"
"129","1286","68","70.15","753"
"130","1064","8","234.22","739"
"131","598","17","411.62","70"
"132","1141","28","334.99","180"
"133","856","28","341.27","638"
"134","670","71","474.37","74"
"135","1037","47","303.72","466"
"136","1725","72","405.01","808"
"137","1872","98","414.28","215"
"138","191","13","458.88","484"
"139","1739","36","362.28","984"
"140","1486","36","500.21","563"
"141","140","73","251.57","601"
"142","560","90","390.12","493"
"143","1471","3","418.62","451"
"144","593","76","95.85","908"
"145","634","53","126.32","405"
"146","448","20","260.22","77"
"147","1606","48","190.71","459"
"148","140","54","392.12","54"
"149","1391","91","432.62","897"
"150","1291","75","107.02","75"
"151","1993","50","426.60","275"
"152","1341","16","493.50","884"
"153","576","29","224.32","82"
"154","335","82","489.06","616"
"155","422","22","282.55","702"
"156","1685","37","308.96","344"
"157","1699","42","259.82","32"
"158","1711","98","395.01","610"
"159","585","89","38.26","53"
"160","1361","19","496.57","849"
"161","813","71","336.07","829"
"162","1218","7","355.40","57"
"163","1419","39","355.04","916"
"164","6","21","18.43","933"
"165","1748","63","479.21","170"
"166","19","49","333.72","680"
"167","890","83","434.12","439"
"168","1045","97","490.61","589"
"169","1757","67","417.53","399"
"170","1556","10","72.37","99"
"171","1507","74","86.69","294"
"172","1773","13","40.03","0"
"173","1215","92","40.77","386"
"174","80","33","319.80","313"
"175","992","46","169.87","503"
"176","1510","40","324.44","679"
"177","1658","63","209.18","451"
"178","500","22","161.15","948"
"179","803","70","288.05","384"
"180","1889","75","8.43","45"
"181","1064","89","280.13","90"
"182","1431","30","346.06","393"
"183","1","69","213.40","368"
"184","1103","66","458.77","734"
"185","1096","3","423.66","879"
"186","361","55","254.89","218"
"187","468","2","144.35","34"
"188","321","3","492.87","19"
"189","932","6","198.80","543"
"190","1819","24","35.90","773"
"191","828","51","126.14","445"
"192","1915","30","488.42","687"
"193","903","55","61.38","75"
"194","757","91","65.61","756"
"195","1881","56","391.29","725"
"196","107","50","382.13","135"
"197","511","63","352.89","63"
"198","1980","73","407.15","690"
"199","177","18","127.15","771"
"200","592","22","58.88","952"
"201","1958","8","437.83","762"
"202","1777","15","101.43","331"
"203","579","54","496.14","807"
"204","1999","100","326.93","473"
"205","1238","74","244.35","978"
"206","226","81","419.62","853"
"207","67","2","278.59","447"
"208","359","72","188.73","786"
"209","1024","59","294.58","901"
"210","928","71","15.03","572"
"211","1425","10","63.84","361"
"212","108","15","141.06","262"
"213","559","85","97.38","840"
"214","1132","32","111.75","762"
"215","1088","68","468.24","372"
"216","1376","66","76.41","654"
"217","808","82","477.19","414"
