"0","35","838","2015-06-18 15:48:44"
"1","35","128","1976-12-13 08:31:51"
"2","11","339","2013-11-26 18:33:17"
"3","69","916","2004-11-10 07:57:25"
"4","20","517","2008-07-17 15:08:35"
"5","83","600","1983-06-01 21:11:31"
"6","83","1369","2020-08-24 11:55:59"
"7","80","802","2010-11-10 22:24:22"
"8","65","1568","1993-12-15 23:29:06"
"9","95","1726","2012-02-06 00:38:10"
"10","3","854","2000-10-19 18:18:23"
"11","7","445","2018-02-17 08:33:25"
"12","17","997","2007-05-29 19:58:27"
"13","46","1451","1983-09-18 00:37:31"
"14","74","1200","1990-07-25 03:24:14"
"15","37","1118","2012-03-29 00:06:42"
"16","85","1541","1999-07-16 09:42:54"
"17","43","1079","2008-04-06 00:38:44"
"18","65","798","1977-02-10 19:28:49"
"19","9","1195","1984-07-21 14:16:54"
"20","21","671","1989-07-31 11:23:08"
"21","63","1743","2009-03-14 20:29:57"
"22","56","590","1970-05-12 13:38:02"
"23","58","1026","1976-04-20 21:21:05"
"24","21","1427","2012-01-18 09:58:50"
"25","63","304","1995-07-23 21:50:18"
"26","96","1252","1989-01-19 06:55:12"
"27","96","1001","1976-09-01 11:09:41"
"28","93","505","1981-09-02 08:43:55"
"29","54","963","2021-08-19 09:44:57"
"30","80","197","1973-10-13 00:52:43"
"31","93","1683","1973-06-02 01:30:11"
"32","46","692","1992-02-24 20:15:19"
"33","7","1948","1984-09-30 22:18:16"
"34","77","1004","1986-04-21 11:34:36"
"35","79","1206","1992-06-07 11:04:55"
"36","34","966","2010-01-30 04:41:23"
"37","49","1428","1972-05-28 18:30:13"
"38","93","1345","2017-08-05 21:08:52"
"39","61","684","2009-01-22 17:47:00"
"40","9","1864","1973-06-25 10:21:48"
"41","37","1846","1999-12-02 05:42:06"
"42","0","822","2002-07-20 16:18:28"
"43","31","1716","1972-09-27 22:58:35"
"44","79","468","1998-07-14 22:27:02"
"45","4","1783","1988-12-02 04:15:33"
"46","27","589","1998-01-04 06:15:11"
"47","63","1787","1988-02-07 21:38:00"
"48","30","322","2002-05-31 23:39:03"
"49","82","1127","1985-07-10 21:03:35"
"50","90","1089","1977-06-20 03:13:53"
"51","85","1787","1987-11-25 19:17:40"
"52","1","1799","2012-08-02 23:17:45"
"53","81","434","1984-08-10 04:49:26"
"54","31","1042","2017-09-18 11:13:38"
"55","19","271","1973-01-30 07:53:43"
"56","90","1500","2002-10-11 17:51:54"
"57","35","759","1984-06-17 05:21:20"
"58","89","928","2008-05-20 17:08:52"
"59","25","429","2015-02-19 02:14:33"
"60","14","248","1991-07-05 12:43:06"
"61","46","1264","1974-01-18 20:31:01"
"62","63","1904","1985-04-08 03:25:22"
"63","86","148","2005-07-13 05:40:27"
"64","25","1117","1981-07-07 14:26:26"
"65","48","1961","2011-02-08 20:06:54"
"66","20","128","2013-11-03 01:26:18"
"67","99","1961","2006-11-17 17:48:16"
"68","89","454","1987-09-02 13:06:13"
"69","93","1940","2009-12-30 05:08:16"
"70","10","814","2004-11-19 07:50:30"
"71","77","1895","1974-09-12 02:15:25"
"72","97","1341","1998-11-07 06:14:01"
"73","45","1210","1984-03-31 22:28:43"
"74","77","1178","2004-04-30 16:15:02"
"75","92","570","1986-02-28 10:25:56"
"76","90","637","2001-06-13 18:51:07"
"77","32","1482","1988-10-18 13:47:50"
"78","79","119","1981-09-16 15:10:43"
"79","0","1324","2001-12-26 23:45:42"
"80","78","202","1995-09-19 09:30:32"
"81","71","837","1981-09-01 07:55:02"
"82","29","1242","1972-01-17 16:28:11"
"83","51","226","2021-10-23 04:36:39"
"84","56","402","1993-03-22 21:57:26"
"85","75","14","2015-08-10 14:05:15"
"86","76","129","2013-03-01 07:36:46"
"87","58","615","1996-05-20 17:58:59"
"88","91","1195","2005-01-02 11:30:26"
"89","17","1744","2009-04-26 11:21:31"
"90","79","720","2011-01-25 03:15:38"
"91","81","1289","2006-09-23 18:59:42"
